station;termin;nat_abbr;cc1000s0;ccl000s0;nto000s0;vho000s0;wat000s0
75;20220101054000;BAS;;;9;1;47
75;20220101115000;BAS;0;;6;86;3
75;20220101174000;BAS;0;;5;80;2
75;20220102055000;BAS;0;;3;62;10
75;20220102114000;BAS;6;;7;84;2
75;20220102174000;BAS;6;;5;70;1
75;20220103055000;BAS;7;;8;84;2
75;20220103114000;BAS;8;;8;84;2
75;20220103174000;BAS;6;;7;84;2
75;20220104055000;BAS;7;;8;80;21
75;20220104114000;BAS;6;;8;80;16
75;20220104174000;BAS;6;;7;58;15
75;20220105054000;BAS;6;;8;60;60
75;20220105114000;BAS;6;;2;83;2
75;20220105174000;BAS;6;;1;70;1
75;20220106055000;BAS;7;;8;58;71
75;20220106114000;BAS;6;;7;75;2
75;20220106174000;BAS;6;;7;70;3
75;20220107055000;BAS;3;;7;70;3
75;20220107115000;BAS;7;;8;62;78
75;20220107175000;BAS;7;;7;68;22
75;20220108055000;BAS;6;;2;70;1
75;20220108114000;BAS;6;;7;86;3
75;20220108174000;BAS;6;;8;81;2
75;20220109055000;BAS;6;;7;60;10
75;20220109114000;BAS;6;;7;80;25
75;20220109174000;BAS;6;;8;63;50
75;20220110055000;BAS;7;;8;65;2
75;20220110114000;BAS;8;;5;70;1
75;20220110174000;BAS;1;;2;75;3
75;20220111055000;BAS;;;9;0;45
75;20220111114000;BAS;;;9;2;49
75;20220111174000;BAS;7;;8;12;10
75;20220112055000;BAS;;;9;5;49
75;20220112114000;BAS;6;;1;84;2
75;20220112174000;BAS;;;0;70;2
75;20220113055000;BAS;;;0;57;10
75;20220113114000;BAS;;;0;62;5
75;20220113174000;BAS;0;;1;62;10
75;20220114054000;BAS;;;0;62;10
75;20220114114000;BAS;;;0;65;2
75;20220114174000;BAS;;;0;66;2
75;20220115055000;BAS;;;0;56;10
75;20220115114000;BAS;;;9;1;45
75;20220115174000;BAS;;;9;0;45
75;20220116055000;BAS;7;;2;30;40
75;20220116114000;BAS;8;;5;62;10
75;20220116174000;BAS;6;;6;65;3
75;20220117055000;BAS;6;;8;70;3
75;20220117114000;BAS;6;;7;82;1
75;20220117174000;BAS;6;;8;80;2
75;20220118055000;BAS;;;9;0;45
75;20220118115000;BAS;7;;7;3;42
75;20220118174000;BAS;7;;7;70;3
75;20220119054000;BAS;;;0;70;2
75;20220119114000;BAS;7;;7;56;5
75;20220119174000;BAS;6;;7;62;5
75;20220120055000;BAS;6;;8;59;68
75;20220120114000;BAS;6;;7;82;2
75;20220120174000;BAS;6;;8;58;85
75;20220121054000;BAS;3;;7;80;2
75;20220121115000;BAS;8;;4;80;2
75;20220121174000;BAS;7;;6;84;3
75;20220122054000;BAS;6;;8;75;2
75;20220122114000;BAS;6;;6;83;2
75;20220122174000;BAS;;;0;70;2
75;20220123054000;BAS;7;;8;25;10
75;20220123114000;BAS;6;;7;75;2
75;20220123174000;BAS;6;;5;72;1
75;20220124055000;BAS;7;;1;70;2
75;20220124114000;BAS;7;;1;63;5
75;20220124174000;BAS;;;0;62;10
75;20220125055000;BAS;;;0;56;10
75;20220125114000;BAS;;;0;56;5
75;20220125174000;BAS;;;0;57;5
75;20220126054000;BAS;;;9;3;45
75;20220126114000;BAS;7;;8;12;10
75;20220126174000;BAS;7;;8;30;10
75;20220127055000;BAS;7;;8;40;10
75;20220127114000;BAS;6;;7;57;10
75;20220127174000;BAS;7;;8;57;10
75;20220128054000;BAS;6;;7;75;2
75;20220128114000;BAS;6;;6;59;10
75;20220128174000;BAS;3;;6;66;3
75;20220129054000;BAS;7;;8;67;3
75;20220129114000;BAS;8;;7;80;3
75;20220129174000;BAS;7;;8;60;10
75;20220130054000;BAS;6;;7;65;3
75;20220130115000;BAS;8;;6;84;2
75;20220130175000;BAS;6;;7;84;2
75;20220131055000;BAS;6;;8;86;2
75;20220131114000;BAS;8;;7;86;15
75;20220131174000;BAS;6;;7;84;2
75;20220201055000;BAS;7;;8;84;2
75;20220201114000;BAS;7;;8;58;15
75;20220201174000;BAS;6;;8;62;21
75;20220202054000;BAS;6;;8;62;58
75;20220202114000;BAS;8;;8;82;2
75;20220202174000;BAS;6;;8;59;60
75;20220203054000;BAS;6;;8;80;2
75;20220203113000;BAS;6;;8;84;2
75;20220203174000;BAS;6;;8;60;10
75;20220204055000;BAS;7;;8;75;2
75;20220204114000;BAS;8;;8;82;2
75;20220204174000;BAS;6;;7;88;1
75;20220205055000;BAS;6;;4;80;1
75;20220205114000;BAS;8;;3;84;2
75;20220205174000;BAS;6;;1;80;2
75;20220206055000;BAS;6;;8;84;3
75;20220206114000;BAS;8;;8;82;2
75;20220206174000;BAS;6;;8;70;21
75;20220207055000;BAS;6;;2;84;1
75;20220207114000;BAS;8;;2;84;2
75;20220207174000;BAS;6;;1;88;2
75;20220208054000;BAS;6;;4;84;2
75;20220208114000;BAS;0;;1;88;2
75;20220208174000;BAS;6;;1;86;2
75;20220209060000;BAS;;;0;80;2
75;20220209115000;BAS;0;;1;84;2
75;20220209174000;BAS;;;0;86;2
75;20220210055000;BAS;0;;1;65;2
75;20220210114000;BAS;6;;3;80;3
75;20220210174000;BAS;8;;8;65;3
75;20220211055000;BAS;5;;8;35;61
75;20220211114000;BAS;8;;3;84;1
75;20220211175000;BAS;6;;1;86;1
75;20220212055000;BAS;;;0;80;2
75;20220212114000;BAS;4;;6;82;3
75;20220212174000;BAS;3;;6;85;2
75;20220213055000;BAS;;;0;75;2
75;20220213114000;BAS;0;;2;80;3
75;20220213174000;BAS;3;;1;80;2
75;20220214055000;BAS;6;;7;84;3
75;20220214114000;BAS;6;;8;65;63
75;20220214174000;BAS;7;;8;63;50
75;20220215055000;BAS;7;;7;59;60
75;20220215114000;BAS;6;;7;82;60
75;20220215175000;BAS;6;;4;75;1
75;20220216054000;BAS;7;;8;65;58
75;20220216114000;BAS;6;;8;81;15
75;20220216174000;BAS;6;;7;70;2
75;20220217055000;BAS;6;;7;75;1
75;20220217114000;BAS;6;;6;82;2
75;20220217174000;BAS;6;;7;65;2
75;20220218055000;BAS;6;;7;75;2
75;20220218114000;BAS;3;;6;83;2
75;20220218174000;BAS;8;;7;68;25
75;20220219055000;BAS;6;;7;84;1
75;20220219115000;BAS;6;;7;84;2
75;20220219174000;BAS;0;;1;84;3
75;20220220055000;BAS;6;;8;84;2
75;20220220114000;BAS;6;;8;84;2
75;20220220174000;BAS;6;;6;84;1
75;20220221055000;BAS;8;;8;56;81
75;20220221114000;BAS;8;;7;84;25
75;20220221174000;BAS;8;;7;84;25
75;20220222055000;BAS;7;;7;62;10
75;20220222114000;BAS;6;;7;82;2
75;20220222174000;BAS;6;;7;75;15
75;20220223054000;BAS;6;;7;70;2
75;20220223115000;BAS;8;;7;83;2
75;20220223174000;BAS;6;;2;85;1
75;20220224054000;BAS;0;;7;80;2
75;20220224115000;BAS;6;;8;80;3
75;20220224174000;BAS;6;;6;85;1
75;20220225055000;BAS;6;;3;70;1
75;20220225114000;BAS;6;;6;84;2
75;20220225175000;BAS;8;;6;84;15
75;20220226055000;BAS;6;;8;56;10
75;20220226114000;BAS;6;;4;83;2
75;20220226174000;BAS;6;;1;86;1
75;20220227055000;BAS;;;0;84;2
75;20220227114000;BAS;;;0;86;2
75;20220227175000;BAS;;;0;86;2
75;20220228055000;BAS;;;0;82;2
75;20220228114000;BAS;;;0;82;2
75;20220228174000;BAS;;;0;85;2
75;20220301055000;BAS;;;0;84;2
75;20220301114000;BAS;0;;3;84;2
75;20220301174000;BAS;0;;7;75;2
75;20220302053000;BAS;0;;1;70;2
75;20220302114000;BAS;3;;7;75;3
75;20220302175000;BAS;3;;7;70;2
75;20220303054000;BAS;6;;1;70;2
75;20220303114000;BAS;3;;1;70;2
75;20220303174000;BAS;3;;1;75;2
75;20220304055000;BAS;;;0;57;10
75;20220304114000;BAS;;;0;65;2
75;20220304174000;BAS;6;;1;82;1
75;20220305055000;BAS;;;0;67;2
75;20220305114000;BAS;;;0;70;2
75;20220305174000;BAS;;;0;80;2
75;20220306054000;BAS;0;;1;67;3
75;20220306114000;BAS;8;;1;65;2
75;20220306174000;BAS;6;;6;80;1
75;20220307054000;BAS;0;;1;80;2
75;20220307114000;BAS;8;;1;75;2
75;20220307174000;BAS;;;0;75;2
75;20220308055000;BAS;;;0;59;5
75;20220308114000;BAS;0;;1;62;5
75;20220308175000;BAS;0;;1;56;5
75;20220309054000;BAS;;;0;62;5
75;20220309114000;BAS;;;0;70;2
75;20220309175000;BAS;;;0;70;2
75;20220310055000;BAS;;;0;67;2
75;20220310114000;BAS;;;0;75;2
75;20220310174000;BAS;0;;1;75;2
75;20220311054000;BAS;0;;6;75;2
75;20220311114000;BAS;0;;6;75;3
75;20220311174000;BAS;6;;7;82;2
75;20220312055000;BAS;6;;6;57;21
75;20220312115000;BAS;8;;3;60;5
75;20220312174000;BAS;6;;5;65;1
75;20220313054000;BAS;6;;7;65;2
75;20220313114000;BAS;6;;3;70;2
75;20220313174000;BAS;6;;7;70;3
75;20220314055000;BAS;6;;1;86;1
75;20220314114000;BAS;8;;2;84;3
75;20220314174000;BAS;4;;5;88;2
75;20220315055000;BAS;7;;8;50;58
75;20220315114000;BAS;7;;8;68;6
75;20220315174000;BAS;6;;7;82;6
75;20220316055000;BAS;7;;2;60;10
75;20220316114000;BAS;4;;8;62;10
75;20220316174000;BAS;7;;8;50;10
75;20220317055000;BAS;3;;7;58;10
75;20220317114000;BAS;4;;8;62;5
75;20220317174000;BAS;6;;8;56;5
75;20220318054000;BAS;7;;8;56;10
75;20220318114000;BAS;7;;8;65;2
75;20220318174000;BAS;6;;7;68;1
75;20220319054000;BAS;0;;3;60;10
75;20220319115000;BAS;;;0;59;5
75;20220319174000;BAS;6;;4;62;5
75;20220320055000;BAS;6;;7;65;0
75;20220320115000;BAS;6;;1;75;2
75;20220320174000;BAS;6;;2;82;2
75;20220321055000;BAS;3;;3;80;3
75;20220321114000;BAS;8;;2;80;2
75;20220321174000;BAS;3;;8;75;2
75;20220322055000;BAS;;;0;80;2
75;20220322113000;BAS;8;;1;80;2
75;20220322174000;BAS;6;;1;83;2
75;20220323053000;BAS;;;0;70;2
75;20220323114000;BAS;;;0;70;2
75;20220323173000;BAS;;;0;65;0
75;20220324054000;BAS;;;0;75;2
75;20220324113000;BAS;;;0;80;2
75;20220324174000;BAS;0;;1;80;2
75;20220325055000;BAS;;;0;75;2
75;20220325114000;BAS;8;;1;70;2
75;20220325174000;BAS;8;;1;70;1
75;20220326055000;BAS;;;0;75;2
75;20220326114000;BAS;;;0;70;2
75;20220326174000;BAS;0;;1;70;2
75;20220327055000;BAS;;;0;80;2
75;20220327114000;BAS;;;0;75;2
75;20220327173000;BAS;0;;1;80;2
75;20220328055000;BAS;;;0;75;2
75;20220328114000;BAS;;;0;75;2
75;20220328174000;BAS;2;;7;83;3
75;20220329055000;BAS;0;;8;68;6
75;20220329114000;BAS;2;;8;68;6
75;20220329174000;BAS;4;;8;70;2
75;20220330053000;BAS;6;;8;65;58
75;20220330114000;BAS;8;;8;65;2
75;20220330173000;BAS;6;;8;65;59
75;20220331055000;BAS;7;;8;13;60
75;20220331114000;BAS;6;;8;67;2
75;20220331174000;BAS;6;;8;40;63
75;20220401055000;BAS;7;;8;50;63
75;20220401114000;BAS;7;;8;40;68
75;20220401174000;BAS;7;;8;15;72
75;20220402054000;BAS;7;;8;15;71
75;20220402114000;BAS;7;;8;12;71
75;20220402174000;BAS;7;;8;57;70
75;20220403055000;BAS;7;;8;25;70
75;20220403114000;BAS;8;;8;59;26
75;20220403174000;BAS;6;;8;80;15
75;20220404054000;BAS;;;0;65;2
75;20220404114000;BAS;8;;1;82;2
75;20220404174000;BAS;3;;6;84;3
75;20220405055000;BAS;4;;8;80;21
75;20220405114000;BAS;6;;7;80;1
75;20220405175000;BAS;3;;7;75;15
75;20220406054000;BAS;6;;7;65;2
75;20220406114000;BAS;6;;7;84;2
75;20220406174000;BAS;6;;7;81;2
75;20220407055000;BAS;8;;7;83;15
75;20220407114000;BAS;6;;8;50;60
75;20220407174000;BAS;8;;7;80;1
75;20220408055000;BAS;7;;8;57;63
75;20220408114000;BAS;8;;8;60;80
75;20220408174000;BAS;8;;6;82;25
75;20220409055000;BAS;7;;7;65;21
75;20220409114000;BAS;8;;4;82;1
75;20220409174000;BAS;8;;4;82;15
75;20220410055000;BAS;6;;2;84;2
75;20220410114000;BAS;8;;5;84;2
75;20220410174000;BAS;0;;3;85;2
75;20220411054000;BAS;0;;1;86;2
75;20220411114000;BAS;0;;7;86;2
75;20220411174000;BAS;0;;8;84;3
75;20220412055000;BAS;3;;7;88;2
75;20220412114000;BAS;0;;8;86;2
75;20220412174000;BAS;4;;8;83;3
75;20220413054000;BAS;;;9;84;8
75;20220413115000;BAS;0;;7;85;2
75;20220413174000;BAS;3;;6;82;2
75;20220414055000;BAS;8;;1;81;1
75;20220414114000;BAS;8;;1;81;2
75;20220414173000;BAS;4;;7;65;3
75;20220415055000;BAS;6;;7;58;5
75;20220415114000;BAS;8;;6;62;5
75;20220415174000;BAS;8;;7;82;2
75;20220416055000;BAS;4;;7;84;2
75;20220416114000;BAS;6;;6;86;1
75;20220416174000;BAS;6;;2;88;2
75;20220417055000;BAS;;;0;85;2
75;20220417114000;BAS;0;;1;86;2
75;20220417174000;BAS;3;;4;86;2
75;20220418055000;BAS;3;;1;86;2
75;20220418114000;BAS;3;;1;86;2
75;20220418174000;BAS;0;;2;86;3
75;20220419054000;BAS;0;;3;86;2
75;20220419115000;BAS;6;;7;82;3
75;20220419175000;BAS;6;;7;85;3
75;20220420054000;BAS;0;;2;84;2
75;20220420114000;BAS;8;;6;84;2
75;20220420175000;BAS;6;;7;85;3
75;20220421055000;BAS;0;;3;84;2
75;20220421114000;BAS;8;;1;84;2
75;20220421174000;BAS;6;;2;83;2
75;20220422054000;BAS;;;0;;
75;20220422120000;BAS;0;;5;80;2
75;20220422174000;BAS;0;;7;80;2
75;20220423054000;BAS;3;;8;62;60
75;20220423114000;BAS;6;;8;67;1
75;20220423174000;BAS;3;;7;67;2
75;20220424054000;BAS;6;;8;70;2
75;20220424114000;BAS;7;;8;64;60
75;20220424174000;BAS;7;;8;60;62
75;20220425055000;BAS;6;;8;80;2
75;20220425114000;BAS;8;;7;80;1
75;20220425175000;BAS;7;;8;65;62
75;20220426055000;BAS;5;;8;58;63
75;20220426114000;BAS;8;;6;82;3
75;20220426174000;BAS;8;;6;82;2
75;20220427054000;BAS;7;;8;60;10
75;20220427114000;BAS;6;;4;75;2
75;20220427174000;BAS;6;;1;83;1
75;20220428055000;BAS;;;0;82;7
75;20220428114000;BAS;3;;1;82;2
75;20220428174000;BAS;0;;1;83;2
75;20220429054000;BAS;2;;7;84;2
75;20220429115000;BAS;6;;7;81;3
75;20220429175000;BAS;4;;8;82;3
75;20220430055000;BAS;3;;1;75;1
75;20220430115000;BAS;8;;4;75;3
75;20220430174000;BAS;8;;2;80;2
75;20220501054000;BAS;7;;7;56;10
75;20220501115000;BAS;8;;2;75;2
75;20220501174000;BAS;8;;1;75;2
75;20220502054000;BAS;0;;1;62;10
75;20220502114000;BAS;8;;6;80;3
75;20220502174000;BAS;3;;8;80;2
75;20220503055000;BAS;0;;2;68;2
75;20220503114000;BAS;8;;4;80;3
75;20220503174000;BAS;9;;4;82;15
75;20220504060000;BAS;6;;6;84;1
75;20220504115000;BAS;9;;7;75;17
75;20220504174000;BAS;8;;7;65;61
75;20220505054000;BAS;8;;8;75;2
75;20220505115000;BAS;6;;8;60;62
75;20220505174000;BAS;6;;8;30;21
75;20220506055000;BAS;7;;8;7;61
75;20220506114000;BAS;7;;8;30;50
75;20220506174000;BAS;8;;6;70;1
75;20220507055000;BAS;;;9;5;45
75;20220507114000;BAS;8;;3;70;2
75;20220507174000;BAS;8;;7;75;80
75;20220508054000;BAS;3;;3;50;10
75;20220508114000;BAS;8;;8;70;3
75;20220508174000;BAS;8;;7;82;1
75;20220509055000;BAS;6;;7;80;1
75;20220509114000;BAS;8;;1;75;2
75;20220509175000;BAS;6;;4;82;3
75;20220510055000;BAS;0;;7;80;2
75;20220510114000;BAS;8;;7;82;2
75;20220510174000;BAS;8;;7;84;2
75;20220511054000;BAS;0;;2;82;3
75;20220511115000;BAS;6;;1;83;2
75;20220511174000;BAS;8;;3;84;2
75;20220512054000;BAS;6;;3;82;2
75;20220512115000;BAS;8;;6;82;3
75;20220512174000;BAS;6;;7;82;16
75;20220513054000;BAS;6;;8;75;21
75;20220513114000;BAS;8;;6;80;1
75;20220513174000;BAS;8;;6;83;1
75;20220514054000;BAS;3;;1;75;2
75;20220514114000;BAS;8;;4;84;2
75;20220514174000;BAS;8;;6;85;2
75;20220515054000;BAS;0;;4;86;2
75;20220515114000;BAS;8;;6;86;2
75;20220515175000;BAS;8;;7;88;3
75;20220516054000;BAS;8;;4;82;1
75;20220516114000;BAS;8;;7;82;3
75;20220516174000;BAS;9;;2;84;2
75;20220517055000;BAS;3;;7;82;2
75;20220517114000;BAS;8;;7;82;2
75;20220517174000;BAS;8;;4;82;2
75;20220518054000;BAS;0;;2;84;2
75;20220518114000;BAS;8;;1;82;2
75;20220518174000;BAS;3;;4;82;3
75;20220519054000;BAS;0;;7;84;2
75;20220519115000;BAS;8;;7;82;3
75;20220519175000;BAS;8;;3;83;1
75;20220520054000;BAS;3;;6;84;1
75;20220520115000;BAS;3;;3;84;1
75;20220520175000;BAS;8;;3;82;1
75;20220521055000;BAS;8;;6;85;2
75;20220521115000;BAS;8;;5;84;2
75;20220521174000;BAS;6;;2;85;2
75;20220522055000;BAS;3;;8;84;2
75;20220522114000;BAS;8;;7;86;2
75;20220522174000;BAS;6;;7;83;2
75;20220523055000;BAS;6;;7;82;1
75;20220523114000;BAS;8;;7;82;2
75;20220523174000;BAS;6;;7;82;1
75;20220524055000;BAS;8;;8;80;16
75;20220524115000;BAS;8;;7;85;1
75;20220524174000;BAS;6;;7;85;2
75;20220525054000;BAS;6;;3;84;2
75;20220525114000;BAS;6;;2;84;2
75;20220525174000;BAS;8;;6;85;3
75;20220526054000;BAS;6;;1;86;1
75;20220526114000;BAS;6;;4;84;2
75;20220526174000;BAS;6;;2;86;1
75;20220527055000;BAS;7;;7;80;3
75;20220527115000;BAS;6;;6;84;1
75;20220527175000;BAS;6;;7;82;2
75;20220528055000;BAS;8;;7;81;3
75;20220528115000;BAS;8;;7;84;2
75;20220528174000;BAS;6;;3;84;2
75;20220529054000;BAS;8;;2;83;2
75;20220529114000;BAS;8;;6;83;3
75;20220529174000;BAS;8;;7;83;3
75;20220530055000;BAS;3;;1;84;2
75;20220530114000;BAS;8;;1;86;2
75;20220530174000;BAS;6;;1;86;2
75;20220531055000;BAS;3;;1;88;2
75;20220531114000;BAS;6;;6;86;2
75;20220531175000;BAS;8;;5;84;1
75;20220601055000;BAS;3;;2;86;3
75;20220601114000;BAS;6;;7;83;16
75;20220601174000;BAS;8;;7;83;21
75;20220602054000;BAS;7;;7;86;2
75;20220602114000;BAS;8;;8;80;17
75;20220602174000;BAS;8;;2;83;1
75;20220603054000;BAS;9;;8;81;15
75;20220603114000;BAS;6;;8;80;25
75;20220603174000;BAS;8;;2;82;2
75;20220604055000;BAS;8;;7;82;16
75;20220604114000;BAS;8;;2;82;2
75;20220604174000;BAS;8;;7;84;3
75;20220605055000;BAS;8;;6;70;1
75;20220605114000;BAS;8;;7;82;2
75;20220605174000;BAS;8;;6;82;15
75;20220606055000;BAS;8;;4;80;3
75;20220606114000;BAS;8;;7;80;2
75;20220606174000;BAS;6;;6;84;2
75;20220607055000;BAS;6;;8;80;2
75;20220607113000;BAS;9;;7;65;25
75;20220607174000;BAS;8;;2;83;15
75;20220608054000;BAS;0;;4;82;2
75;20220608114000;BAS;6;;8;83;3
75;20220608174000;BAS;8;;6;80;1
75;20220609054000;BAS;8;;1;84;2
75;20220609114000;BAS;8;;7;80;80
75;20220609174000;BAS;8;;7;83;15
75;20220610054000;BAS;;;0;84;2
75;20220610114000;BAS;8;;1;84;2
75;20220610174000;BAS;8;;1;86;2
75;20220611055000;BAS;;;0;86;2
75;20220611114000;BAS;8;;1;86;2
75;20220611174000;BAS;8;;1;85;2
75;20220612055000;BAS;8;;1;84;1
75;20220612114000;BAS;8;;1;86;2
75;20220612174000;BAS;8;;6;84;15
75;20220613054000;BAS;8;;8;82;2
75;20220613114000;BAS;8;;1;84;2
75;20220613174000;BAS;8;;1;84;1
75;20220614054000;BAS;;;0;83;2
75;20220614113000;BAS;0;;3;84;3
75;20220614174000;BAS;3;;6;80;2
75;20220615054000;BAS;3;;4;83;2
75;20220615114000;BAS;0;;1;83;2
75;20220615174000;BAS;8;;2;83;2
75;20220616055000;BAS;8;;5;83;1
75;20220616114000;BAS;8;;2;84;2
75;20220616175000;BAS;6;;4;82;2
75;20220617055000;BAS;6;;6;84;1
75;20220617114000;BAS;3;;4;82;2
75;20220617174000;BAS;0;;3;86;2
75;20220618054000;BAS;0;;1;84;2
75;20220618114000;BAS;;;0;82;2
75;20220618174000;BAS;;;0;64;5
75;20220619054000;BAS;;;0;80;2
75;20220619114000;BAS;8;;1;80;2
75;20220619174000;BAS;6;;1;81;2
75;20220620055000;BAS;3;;1;82;1
75;20220620114000;BAS;8;;1;82;2
75;20220620174000;BAS;;;0;82;2
75;20220621055000;BAS;6;;7;75;3
75;20220621114000;BAS;8;;5;80;2
75;20220621174000;BAS;8;;8;82;3
75;20220622054000;BAS;6;;7;81;2
75;20220622114000;BAS;7;;7;81;21
75;20220622174000;BAS;7;;8;50;29
75;20220623054000;BAS;3;;2;81;1
75;20220623114000;BAS;8;;2;83;2
75;20220623175000;BAS;9;;7;62;17
75;20220624055000;BAS;3;;2;82;1
75;20220624114000;BAS;8;;8;58;80
75;20220624174000;BAS;8;;7;86;14
75;20220625055000;BAS;7;;1;80;1
75;20220625114000;BAS;8;;1;84;2
75;20220625174000;BAS;8;;6;88;3
75;20220626054000;BAS;6;;6;85;1
75;20220626114000;BAS;8;;6;84;2
75;20220626175000;BAS;6;;5;84;2
75;20220627054000;BAS;8;;7;80;2
75;20220627114000;BAS;8;;7;86;1
75;20220627174000;BAS;6;;7;89;2
75;20220628055000;BAS;6;;8;75;21
75;20220628114000;BAS;6;;7;82;3
75;20220628174000;BAS;6;;8;82;2
75;20220629054000;BAS;6;;1;81;2
75;20220629114000;BAS;8;;6;83;2
75;20220629174000;BAS;6;;1;84;2
75;20220630054000;BAS;3;;1;86;2
75;20220630114000;BAS;8;;2;84;3
75;20220630175000;BAS;9;;8;60;95
75;20220701054000;BAS;8;;8;81;80
75;20220701114000;BAS;8;;6;86;1
75;20220701174000;BAS;8;;2;88;2
