station;termin;nat_abbr;fkl010d0;fkl010d1;fu3010d0;fu3010d1;gre000d0;oli000d0;pp0qffd0;pp0qnhd0;ppz700d0;ppz850d0;prestad0;pva200d0;rre150d0;sre000d0;tre005d0;tre005dn;tre005dx;tre200d0;tre200dn;tre200dx;ure200d0;wcc006d0
75;20230101000000;BAS;2.8;9.5;10.1;34.2;63;292;1021.7;1021.6;;;983.8;10.1;0.0;354;10.0;5.6;18.9;11.4;7.9;17.1;76.1;
75;20230102000000;BAS;2.1;14.1;7.6;50.8;41;320;1023.7;1023.4;;;985.5;9.4;3.2;118;8.8;4.1;17.1;10.1;5.7;15.3;76.6;
75;20230103000000;BAS;0.8;3.9;2.9;14.0;31;302;1031.7;1030.9;;;992.8;9.2;0.0;14;5.4;-0.7;11.3;6.9;2.6;9.6;92.0;
75;20230104000000;BAS;1.7;9.2;6.1;33.1;14;332;1030.6;1029.7;;;991.6;8.4;0.0;0;5.9;1.3;11.2;6.4;2.0;12.2;87.5;
75;20230105000000;BAS;2.5;11.5;9.0;41.4;21;335;1026.6;1026.4;;;988.4;10.5;0.0;0;9.8;2.3;12.6;11.0;6.5;12.6;80.0;
75;20230106000000;BAS;1.5;4.9;5.4;17.6;28;337;1025.0;1024.4;;;986.5;9.8;0.0;6;7.9;1.2;13.8;8.5;4.7;10.8;88.0;
75;20230107000000;BAS;2.5;8.3;9.0;29.9;70;275;1017.7;1017.1;;;979.4;8.4;3.7;396;6.8;2.5;14.7;7.8;4.6;11.8;79.8;
75;20230108000000;BAS;2.2;7.4;7.9;26.6;13;335;1008.3;1007.5;;;970.1;9.0;12.2;0;5.9;3.0;7.2;6.4;4.4;7.8;93.1;
75;20230109000000;BAS;4.5;16.7;16.2;60.1;51;302;1009.8;1009.0;;;971.6;7.2;1.5;127;5.2;2.7;9.9;6.2;4.2;8.8;76.0;
75;20230110000000;BAS;2.6;11.7;9.4;42.1;53;292;1024.1;1023.1;;;985.3;6.2;0.0;177;5.0;1.5;11.1;5.6;3.5;8.4;69.2;
75;20230111000000;BAS;3.0;11.4;10.8;41.0;12;321;1021.5;1020.8;;;983.0;8.4;1.4;0;6.5;4.6;9.2;7.5;5.4;10.8;80.5;
75;20230112000000;BAS;4.1;13.2;14.8;47.5;22;317;1021.9;1021.6;;;983.7;7.1;0.7;0;8.5;2.6;10.7;9.6;5.1;11.2;59.8;
75;20230113000000;BAS;4.1;14.8;14.8;53.3;30;324;1019.9;1019.4;;;981.7;8.1;2.1;27;7.8;4.4;11.4;9.0;6.5;11.6;71.0;
75;20230114000000;BAS;2.6;15.4;9.4;55.4;44;318;1017.7;1017.2;;;979.5;7.7;0.6;15;7.4;0.2;12.9;8.5;4.1;14.0;70.1;
75;20230115000000;BAS;5.2;18.6;18.7;67.0;21;;;;;;974.0;7.0;2.4;85;;;;6.8;0.6;14.2;70.3;
75;20230116000000;BAS;5.3;21.9;19.1;78.8;37;;;;;;958.0;5.7;2.0;18;;;;4.0;1.0;7.0;74.0;
75;20230117000000;BAS;1.8;11.2;6.5;40.3;17;;;;;;951.0;5.8;5.1;0;;;;1.2;-0.6;3.2;92.0;
75;20230118000000;BAS;2.0;6.9;7.2;24.8;26;285;999.3;997.8;;;960.7;5.6;1.2;0;-0.2;-5.7;1.5;0.4;-2.3;1.9;88.7;
75;20230119000000;BAS;1.3;5.7;4.7;20.5;58;253;1011.1;1009.3;;;971.9;4.5;0.0;148;-1.5;-6.8;6.9;-0.8;-3.7;1.9;78.3;
75;20230120000000;BAS;1.2;3.9;4.3;14.0;54;245;1019.1;1017.1;;;979.4;4.4;0.0;128;-2.7;-7.1;6.0;-1.6;-3.9;2.3;80.8;
75;20230121000000;BAS;2.2;7.9;7.9;28.4;65;244;1024.9;1022.8;;;984.9;4.2;0.0;234;-2.6;-8.1;5.1;-2.3;-5.9;0.3;82.0;
75;20230122000000;BAS;1.5;6.6;5.4;23.8;17;294;1027.8;1025.8;;;987.9;5.1;0.0;0;-0.7;-1.9;1.2;-0.5;-1.6;0.5;87.1;
75;20230123000000;BAS;1.9;11.9;6.8;42.8;11;299;1029.3;1027.6;;;989.6;5.1;0.1;0;0.4;-1.4;1.8;1.0;-0.6;2.4;78.1;
75;20230124000000;BAS;1.8;8.6;6.5;31.0;12;312;1032.7;1031.3;;;993.2;6.1;0.2;0;2.3;0.8;3.8;2.8;1.3;3.7;82.1;
75;20230125000000;BAS;1.0;4.5;3.6;16.2;10;319;1029.7;1028.1;;;990.1;6.5;0.1;0;1.7;0.7;2.8;1.9;0.8;2.7;93.3;
75;20230126000000;BAS;1.8;6.3;6.5;22.7;9;302;1022.2;1020.4;;;982.6;5.4;0.0;0;-0.3;-1.5;0.7;-0.1;-1.3;0.9;88.8;
75;20230127000000;BAS;1.7;6.3;6.1;22.7;18;294;1021.8;1020.0;;;982.2;4.8;0.0;0;-0.7;-1.8;1.1;-0.5;-1.6;0.8;81.4;
75;20230128000000;BAS;1.5;9.7;5.4;34.9;11;297;1026.0;1024.3;;;986.4;4.7;0.0;0;0.5;-1.0;2.0;1.1;-0.6;2.3;72.0;
75;20230129000000;BAS;1.2;4.1;4.3;14.8;42;268;1029.6;1027.7;;;989.7;4.8;0.0;1;-1.4;-7.9;4.4;-0.3;-3.5;2.3;81.1;
75;20230130000000;BAS;1.6;6.8;5.8;24.5;55;281;1028.7;1027.1;;;989.1;5.3;0.0;122;0.5;-7.2;8.2;1.2;-3.8;5.0;78.3;
75;20230131000000;BAS;1.5;9.0;5.4;32.4;64;282;1030.6;1029.2;;;991.1;5.9;0.0;215;2.5;-5.2;8.9;3.0;-1.3;5.6;78.8;
75;20230201000000;BAS;3.3;11.9;11.9;42.8;43;305;1029.2;1028.1;;;990.1;6.1;0.0;22;4.2;-1.4;9.7;4.9;1.2;7.0;70.6;
75;20230202000000;BAS;3.9;10.5;14.0;37.8;20;310;1032.1;1031.1;;;993.0;6.7;0.0;0;5.2;2.1;6.8;5.9;4.2;7.0;72.6;
75;20230203000000;BAS;3.4;11.2;12.2;40.3;51;306;1034.8;1033.9;;;995.7;6.5;0.1;85;5.9;-0.9;12.1;6.5;2.7;9.4;67.5;
75;20230204000000;BAS;1.4;7.3;5.0;26.3;33;319;1036.3;1035.3;;;997.0;8.1;0.2;0;5.4;0.2;9.6;6.2;2.3;8.5;85.6;
75;20230205000000;BAS;1.3;9.7;4.7;34.9;22;315;1037.3;1036.0;;;997.7;7.2;1.4;0;3.1;0.3;5.0;3.6;2.0;5.4;91.2;
75;20230206000000;BAS;1.9;8.1;6.8;29.2;32;299;1036.7;1035.2;;;996.9;5.8;0.0;8;2.2;-1.7;5.5;2.7;0.7;4.4;78.6;
75;20230207000000;BAS;2.1;10.3;7.6;37.1;115;214;1036.5;1034.7;;;996.5;4.1;0.0;519;-0.3;-7.8;10.4;0.4;-3.2;4.7;66.3;
75;20230208000000;BAS;1.6;6.4;5.8;23.0;118;204;1035.7;1033.6;;;995.4;3.8;0.0;521;-2.8;-9.7;8.5;-1.4;-6.1;3.7;70.4;
75;20230209000000;BAS;1.5;5.5;5.4;19.8;117;218;1035.6;1033.6;;;995.4;4.2;0.0;513;-1.4;-7.2;11.8;-0.2;-4.3;6.3;72.1;
75;20230210000000;BAS;1.1;4.0;4.0;14.4;112;224;1040.5;1038.5;;;1000.2;4.6;0.0;409;-1.3;-8.3;11.9;0.0;-4.3;5.9;76.3;
75;20230211000000;BAS;1.2;4.5;4.3;16.2;119;236;1038.8;1037.0;;;998.7;4.7;0.0;486;-0.1;-7.6;13.2;1.3;-3.9;8.2;71.8;
75;20230212000000;BAS;1.0;4.6;3.6;16.6;110;252;1037.8;1036.2;;;997.9;5.5;0.0;382;1.1;-7.1;15.7;2.2;-3.9;9.7;78.3;
75;20230213000000;BAS;2.4;9.6;8.6;34.6;126;245;1037.2;1036.1;;;997.8;6.7;0.0;527;3.8;-4.4;15.3;5.2;-0.6;10.8;76.3;
75;20230214000000;BAS;2.4;8.5;8.6;30.6;131;243;1035.3;1033.8;;;995.6;6.2;0.0;536;2.6;-4.5;13.7;2.8;-1.2;8.6;84.0;
75;20230215000000;BAS;2.2;8.0;7.9;28.8;132;255;1030.6;1029.3;;;991.3;6.2;0.0;521;3.5;-2.6;16.3;3.7;-1.2;11.3;79.4;
75;20230216000000;BAS;1.7;5.7;6.1;20.5;125;277;1029.8;1029.0;;;990.9;6.2;0.0;412;6.2;-2.3;19.3;6.6;-0.3;14.4;67.0;
75;20230217000000;BAS;1.2;7.7;4.3;27.7;44;343;1029.9;1029.6;;;991.5;9.0;0.0;9;9.6;5.4;15.4;10.4;6.4;13.9;70.8;
75;20230218000000;BAS;2.9;10.8;10.4;38.9;44;353;1028.2;1028.2;;;990.2;9.8;0.0;25;12.0;9.8;15.7;12.5;10.6;14.9;68.1;
75;20230219000000;BAS;2.5;8.8;9.0;31.7;37;339;1028.7;1028.3;;;990.3;8.8;0.0;0;9.1;7.8;11.6;9.5;8.1;10.7;73.8;
75;20230220000000;BAS;1.3;4.5;4.7;16.2;140;269;1027.9;1027.3;;;989.3;7.8;0.0;535;7.1;-1.8;21.0;8.7;4.1;15.4;71.2;
75;20230221000000;BAS;1.1;4.7;4.0;16.9;143;259;1020.4;1019.8;;;982.0;7.3;0.0;531;6.2;-2.8;21.6;7.8;1.6;16.7;72.4;
75;20230222000000;BAS;1.2;8.2;4.3;29.5;80;304;1016.0;1015.4;;;977.7;8.5;0.7;117;6.6;-1.9;15.2;7.7;2.5;12.7;80.3;
75;20230223000000;BAS;1.1;3.4;4.0;12.2;107;321;1014.1;1013.8;;;976.2;10.0;0.2;285;9.7;4.5;19.6;10.0;7.5;14.1;82.8;
75;20230224000000;BAS;1.4;8.7;5.0;31.3;110;328;1008.8;1008.4;;;971.0;9.3;7.1;254;9.7;5.7;19.0;8.9;5.7;13.1;82.4;
75;20230225000000;BAS;1.8;8.8;6.5;31.7;58;299;1009.5;1008.5;;;971.0;6.0;0.0;42;3.9;-3.7;10.1;4.6;1.4;6.7;69.7;
75;20230226000000;BAS;3.9;15.4;14.0;55.4;88;258;1014.9;1013.3;;;975.7;3.6;0.0;175;0.8;-4.7;9.9;0.9;-1.7;3.8;55.4;
75;20230227000000;BAS;4.6;17.3;16.6;62.3;36;285;1021.0;1019.4;;;981.6;3.5;0.2;0;0.7;-1.3;3.7;1.1;0.2;2.4;53.4;
75;20230228000000;BAS;1.8;8.5;6.5;30.6;53;284;1024.5;1022.8;;;984.9;4.3;0.0;0;-0.1;-5.1;5.1;0.2;-2.1;2.3;70.7;
75;20230301000000;BAS;1.1;5.8;4.0;20.9;38;285;1021.7;1019.9;;;982.1;4.6;0.0;10;-0.2;-5.7;4.7;0.0;-3.3;3.0;75.2;
75;20230302000000;BAS;1.0;3.2;3.6;11.5;73;291;1019.4;1018.0;;;980.3;5.4;0.0;126;2.5;-2.7;12.6;2.4;0.3;5.9;74.2;
75;20230303000000;BAS;1.4;5.3;5.0;19.1;119;283;1021.9;1020.7;;;982.9;6.0;0.0;206;4.4;-1.0;14.5;3.7;0.6;8.2;75.5;
75;20230304000000;BAS;1.8;6.8;6.5;24.5;159;244;1023.8;1022.4;;;984.6;5.3;0.0;527;3.5;-4.1;13.8;2.7;-0.8;7.7;73.0;
75;20230305000000;BAS;1.4;6.2;5.0;22.3;157;245;1017.3;1015.9;;;978.2;4.8;0.0;357;2.5;-6.9;17.6;2.4;-2.7;8.5;68.4;
75;20230306000000;BAS;1.8;7.8;6.5;28.1;52;293;1009.8;1008.6;;;971.2;4.8;0.0;13;2.4;-5.0;9.1;2.9;-1.5;6.2;64.9;
75;20230307000000;BAS;2.6;10.7;9.4;38.5;129;275;1006.2;1005.2;;;967.9;4.7;0.0;212;4.2;-3.2;12.9;4.3;0.3;7.5;57.7;
75;20230308000000;BAS;4.5;19.3;16.2;69.5;51;325;1000.1;999.7;;;962.6;7.9;12.0;0;7.8;-1.9;15.0;8.8;2.0;14.8;68.1;
75;20230309000000;BAS;4.2;23.6;15.1;85.0;125;327;1002.6;1002.8;;;965.6;8.3;1.8;242;12.4;7.7;20.8;12.7;9.0;17.4;58.6;
75;20230310000000;BAS;5.7;20.6;20.5;74.2;72;328;1001.7;1001.3;;;964.1;7.8;3.6;7;7.9;3.6;11.9;8.8;4.2;11.6;68.7;
75;20230311000000;BAS;1.4;7.3;5.0;26.3;79;316;1012.0;1010.7;;;973.2;6.4;0.5;0;3.5;-0.1;8.3;3.2;0.4;5.4;83.7;
75;20230312000000;BAS;2.2;11.0;7.9;39.6;108;317;1015.9;1015.4;;;977.7;8.4;2.5;114;7.9;3.1;17.4;8.5;4.2;13.7;76.9;
75;20230313000000;BAS;3.1;22.2;11.2;79.9;158;333;1006.8;1007.1;;;969.7;9.7;11.0;389;13.8;6.4;26.4;13.9;7.4;23.4;64.7;
75;20230314000000;BAS;4.3;15.2;15.5;54.7;58;316;1006.7;1006.3;;;969.0;7.7;2.6;27;7.8;3.7;11.8;8.9;4.8;12.0;68.0;
75;20230315000000;BAS;1.8;7.9;6.5;28.4;177;243;1020.4;1019.4;;;981.6;5.4;0.0;514;4.6;-4.2;14.9;4.9;-0.1;10.0;64.0;
75;20230316000000;BAS;3.0;10.7;10.8;38.5;180;257;1017.8;1017.1;;;979.4;5.5;0.0;498;6.7;-4.7;18.2;7.3;-1.1;14.1;56.7;
75;20230317000000;BAS;2.1;8.7;7.6;31.3;152;292;1012.8;1012.7;;;975.1;7.2;0.0;318;10.0;2.5;24.6;10.7;5.1;18.0;56.4;
75;20230318000000;BAS;1.3;5.5;4.7;19.8;182;298;1014.2;1014.2;;;976.6;7.4;0.0;418;11.2;0.6;24.2;11.5;4.4;17.9;57.7;
75;20230319000000;BAS;1.2;8.4;4.3;30.2;76;334;1018.2;1017.9;;;980.2;9.4;10.2;27;9.2;2.2;17.5;10.0;6.7;14.0;77.0;
75;20230320000000;BAS;1.1;4.4;4.0;15.8;140;312;1022.0;1021.6;;;983.8;8.6;0.0;209;9.7;0.6;22.0;9.5;4.8;14.1;74.1;
75;20230321000000;BAS;1.2;5.0;4.3;18.0;159;300;1018.1;1017.8;;;980.1;8.6;0.0;246;10.0;-0.2;21.8;10.5;3.8;16.8;69.6;
75;20230322000000;BAS;1.6;7.3;5.8;26.3;214;294;1014.2;1014.3;;;976.7;8.8;0.0;622;12.5;1.9;25.6;12.8;6.0;19.7;62.5;
75;20230323000000;BAS;1.6;7.8;5.8;28.1;65;356;1011.4;1011.8;;;974.3;9.8;0.1;0;13.5;8.9;20.6;14.6;11.1;18.3;59.9;
75;20230324000000;BAS;4.4;16.0;15.8;57.6;26;340;1011.2;1011.4;;;973.9;9.6;7.5;0;10.8;3.3;17.1;12.9;7.5;18.6;64.7;
75;20230325000000;BAS;4.3;20.5;15.5;73.8;116;316;1015.5;1015.2;;;977.6;7.9;2.3;167;9.2;3.9;16.4;9.8;5.3;13.8;66.5;
75;20230326000000;BAS;3.6;18.3;13.0;65.9;126;321;1008.7;1008.3;;;970.9;8.1;4.2;197;8.4;4.5;18.5;9.0;5.6;14.9;72.0;
75;20230327000000;BAS;2.9;10.5;10.4;37.8;131;305;1021.1;1020.2;;;982.4;5.9;0.0;154;6.4;3.2;15.4;5.8;4.0;8.8;64.8;
75;20230328000000;BAS;1.8;6.5;6.5;23.4;223;277;1026.1;1025.4;;;987.4;5.6;0.0;554;8.2;-3.7;18.5;7.2;0.0;12.3;57.9;
75;20230329000000;BAS;1.8;9.0;6.5;32.4;101;345;1019.0;1019.2;;;981.4;7.7;0.2;19;12.7;6.6;22.6;13.3;7.4;20.8;51.3;
75;20230330000000;BAS;2.9;15.6;10.4;56.2;115;344;1014.7;1015.1;;;977.5;10.0;3.5;196;13.9;9.8;21.5;15.0;12.4;18.7;58.9;
75;20230331000000;BAS;5.1;20.0;18.4;72.0;169;326;1007.4;1007.5;;;970.1;9.2;9.2;304;11.3;5.8;19.6;11.9;6.8;17.1;66.5;
75;20230401000000;BAS;4.4;14.9;15.8;53.6;98;319;1008.9;1008.6;;;971.1;8.5;2.5;83;8.2;4.3;14.9;9.3;6.2;12.4;73.2;
75;20230402000000;BAS;1.9;7.0;6.8;25.2;144;331;1016.7;1016.3;;;978.6;9.0;3.1;144;9.9;5.3;20.6;9.2;5.5;12.9;78.5;
75;20230403000000;BAS;2.6;10.2;9.4;36.7;83;301;1024.0;1023.0;;;985.1;5.6;0.1;10;4.5;-3.3;14.8;5.1;2.6;8.4;65.4;
